Zeile, id, Bild, Info, Bewertung1, Bewertung2, Bewertung3, Timestamp
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,LimetteAlt.png,"71% der bisherigen Teilnehmer würden diese Limette noch essen oder verwerten.",0,67,7,1520752516
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,KarotteNeu.png,"Auf Chefkoch.de gibt es mehr als 6500 einfache Rezepte mit Karotte.",100,0,0,1520752525
406,1miggpsuqd92mnkvf39j6foe8fapmgmb,LimetteNeu.png,"60% der bisherigen Teilnehmer würden diese Limette noch essen oder verwerten.",86,72,0,1520752532
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,BirneAlt.png,"Auf Chefkoch.de gibt es mehr als 700 einfache Rezepte mit Birne.",100,0,0,1520752742
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,ApfelNeu.png,"60% der bisherigen Teilnehmer würden diesen Apfel noch essen oder verwerten.",100,0,0,1520752755
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,PaprikaAlt.png,,5,38,72,1520752770
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,FruehlingszwiebelAlt.png,"73% der bisherigen Teilnehmer würden diese Lauchzwiebel noch essen oder verwerten.",3,14,32,1520752785
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,BirneNeu.png,"Auf Chefkoch.de gibt es mehr als 700 einfache Rezepte mit Birne.",100,0,0,1520752794
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,BananeNeu.png,,100,70,0,1520752833
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,LimetteNeu.png,"Für 1 kg Limetten, d.h. ca. 10 Limetten, werden 0,36 kg oder 182 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in ungefähr 8 Stunden. ",11,100,0,1520752904
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,TraubenNeu.png,"Für 1 kg Trauben, d.h. ca. 10 Rispen Trauben, werden 0,37 kg oder 187 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in ungefähr 8 Stunden. ",100,0,0,1520752919
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,PaprikaNeu.png,,100,64,0,1520752978
